pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z
669952,"White, Mitch",2024,R,413,158,41,-1.723504428,6.002529525,0.044594661,4.467224839
680704,"Sandlin, Nick",2024,R,1003,114,12,-2.490515036,4.490090015,-0.472748945,4.068595092
642048,"Saucedo, Tayler",2024,L,626,136,22,2.585825786,5.267092796,0.311544676,4.352501
579328,"Kikuchi, Yusei",2024,L,2923,117,42,1.650527999,5.426773323,0.047283307,3.99078751
656641,"Latz, Jacob",2024,L,813,140,51,1.164573915,5.936046782,-0.273328121,4.187472352
681217,"Silseth, Chase",2024,R,167,108,33,-2.018554237,5.895949747,-0.11420435,4.636639085
641793,"Littell, Zack",2024,R,2467,139,42,-1.937018521,6.145892589,-0.235512397,4.63821208
663554,"Mize, Casey",2024,R,1788,116,43,-1.662294234,5.647905894,-0.075586783,4.15271992
668674,"Erceg, Lucas",2024,R,979,118,42,-1.603273837,6.017103942,0.114456486,4.444287908
685314,"Saalfrank, Andrew",2024,L,26,109,48,1.515122055,6.246068504,-0.071725195,4.465498036
687362,"Gillispie, Connor",2024,R,138,114,39,-2.157761376,5.356551985,-0.37749695,3.938687333
573186,"Stroman, Marcus",2024,R,2580,147,33,-1.920326374,5.226214485,-0.18848171,4.12137427
682243,"Miller, Bryce",2024,R,2749,136,43,-1.584259321,5.567888834,0.166101783,3.931086294
668676,"Plesac, Zach",2024,R,208,108,57,-0.977157282,6.310690819,0.299837543,4.370700423
673540,"Senga, Kodai",2024,R,73,121,44,-1.518439918,5.849660162,0.078965249,4.289396409
641540,"Dunning, Dane",2024,R,1689,140,38,-1.894270764,5.411309624,-0.066122744,3.968746011
668933,"Ashcraft, Graham",2024,R,1342,113,49,-1.454091799,6.296629317,0.111876235,4.494224668
607237,"Garrett, Amir",2024,L,104,108,40,1.90786036,6.028820074,0.05426325,4.478635015
624133,"Suárez, Ranger",2024,L,2265,143,42,1.707449881,5.845603731,0.00050857,4.31929015
668678,"Gallen, Zac",2024,R,2506,109,41,-1.492412603,5.85917613,0.108131963,4.456933897
543238,"Gose, Anthony",2024,L,79,114,48,1.342067731,5.688458745,-0.111591222,4.081074027
676614,"Sammons, Bryan",2024,L,374,116,34,2.172287715,5.530299565,0.193056539,4.200147065
692230,"Rodriguez, Carlos",2024,R,233,158,34,-1.941250794,5.676508383,-0.150298203,4.447346981
663559,"Falter, Bailey",2024,L,2138,134,56,0.869068214,5.781541741,-0.327409232,4.007623373
605447,"Romano, Jordan",2024,R,215,141,50,-1.332819328,6.060119643,0.172162217,4.24864442
808967,"Yamamoto, Yoshinobu",2024,R,1421,119,46,-1.354293723,5.515601364,0.035992424,4.074529518
624647,"González, Victor",2024,L,386,147,25,2.516341394,4.941759146,0.317043631,3.921120684
630023,"Chirinos, Yonny",2024,R,515,146,45,-1.562591097,6.636014858,0.15782996,4.93230202
622088,"Antone, Tejay",2024,R,47,113,30,-2.46226728,5.859553116,-0.373439396,4.650820006
689672,"Thorpe, Drew",2024,R,721,145,52,-1.232519625,6.123143119,0.220652608,4.273302477
570632,"Ureña, José",2024,R,1759,140,31,-2.228274244,5.66872598,-0.190938671,4.428450891
571656,"Farmer, Buck",2024,R,1169,113,30,-1.936669597,5.693239563,0.129046334,4.51238179
676105,"Criswell, Jeff",2024,R,354,115,33,-1.943264598,5.429700843,0.152744981,4.055453201
676617,"O'Brien, Riley",2024,R,194,138,31,-2.149855001,5.533448755,-0.149746101,4.316926375
663562,"Davis, Noah",2024,R,365,115,32,-2.047670875,5.839966176,-0.158473511,4.674537116
669194,"Nelson, Ryne",2024,R,2406,109,48,-1.301373749,6.0722296,0.207604878,4.41882507
676106,"Hancock, Emerson",2024,R,1013,136,27,-2.099057783,5.568635956,-0.062950745,4.511082102
643338,"Green, Chad",2024,R,840,141,45,-1.612498486,6.093299049,0.064779151,4.433717508
670219,"Kristofak, Zac",2024,R,39,108,41,-1.468748787,5.287122268,0.03425495,3.9959252
543243,"Gray, Sonny",2024,R,2483,138,49,-1.186820583,5.513434873,0.203197208,3.922408796
