Pitches,str-icr,wstr-icr
5,3363,3363
25,3189,3189
50,3008,3008
75,2861,2861
100,2742,2742
125,2642,2642
150,2558,2558
175,2483,2483
200,2398,2398
225,2324,2324
250,2243,2243
275,2183,2183
300,2114,2114
325,2048,2048
350,1978,1978
375,1884,1884
400,1821,1821
425,1762,1762
450,1714,1714
475,1647,1647
500,1605,1605
525,1564,1564
550,1523,1523
575,1485,1485
600,1448,1448
625,1410,1410
650,1386,1386
675,1344,1344
700,1308,1308
725,1272,1272
750,1235,1235
775,1192,1192
800,1162,1162
825,1136,1136
850,1107,1107
875,1063,1063
900,1018,1018
925,988,988
950,944,944
975,897,897
1000,850,850
1025,804,804
1050,770,770
1075,716,716
1100,666,666
1125,638,638
1150,609,609
1175,584,584
1200,564,564
1225,541,541
1250,516,516
1275,506,506
1300,494,494
1325,489,489
1350,480,480
1375,471,471
1400,460,460
1425,454,454
1450,447,447
1475,438,438
1500,435,435
1525,430,430
1550,427,427
1575,421,421
